package,component,fname
discovr,scale,scale_colour_oi
discovr,scale,scale_colour_pom
discovr,scale,scale_colour_power
discovr,scale,scale_colour_prayer
discovr,scale,scale_colour_senjutsu
discovr,scale,scale_colour_sit
discovr,scale,scale_colour_ssoass
discovr,scale,scale_colour_tol
discovr,scale,scale_colour_virtual
discovr,scale,scale_fill_amolad
discovr,scale,scale_fill_bnw
discovr,scale,scale_fill_dod
discovr,scale,scale_fill_frontier
discovr,scale,scale_fill_im
discovr,scale,scale_fill_killers
discovr,scale,scale_fill_nob
discovr,scale,scale_fill_oi
discovr,scale,scale_fill_pom
discovr,scale,scale_fill_power
discovr,scale,scale_fill_prayer
discovr,scale,scale_fill_senjutsu
discovr,scale,scale_fill_sit
discovr,scale,scale_fill_ssoass
discovr,scale,scale_fill_tol
discovr,scale,scale_fill_virtual
distributions3,geom,geom_auc
distributions3,stat,stat_auc
dMod,scale,scale_color_dMod
dMod,scale,scale_fill_dMod
dMod,theme,theme_dMod
doBy,scale,scale_by
doBy,scale,scale_df
donutsk,geom,geom_donut_ext
donutsk,geom,geom_donut_ext0
donutsk,geom,geom_donut_ext_hl
donutsk,geom,geom_donut_int
donutsk,geom,geom_donut_int0
donutsk,geom,geom_donut_int_hl
donutsk,geom,geom_label_ext
donutsk,geom,geom_label_int
donutsk,geom,geom_pin
donutsk,geom,geom_pin_head
donutsk,geom,geom_pin_line
donutsk,geom,geom_text_ext
donutsk,geom,geom_text_int
DOYPAColors,scale,scale_color_doypa
DOYPAColors,scale,scale_colour_doypa
DOYPAColors,scale,scale_fill_doypa
drhutools,scale,scale_color_gb
drhutools,scale,scale_fill_gb
ds4psy,theme,theme_clean
ds4psy,theme,theme_ds4psy
ds4psy,theme,theme_empty
easybio,theme,theme_publication
easynem,geom,geom_encircle
easysurv,theme,theme_easysurv
easysurv,theme,theme_risktable_easysurv
ebm,geom,geom_stepribbon
eeptools,theme,theme_dpi
eeptools,theme,theme_dpi_map
eeptools,theme,theme_dpi_map2
eeptools,theme,theme_dpi_mapPNG
egg,geom,geom_custom
egg,theme,theme_article
egg,theme,theme_presentation
EGM,theme,theme_egm
EGM,theme,theme_egm_dark
EGM,theme,theme_egm_light
eks,geom,"geom_contour_filled_ks, stat_contour_filled_ks"
eks,geom,"geom_point_ks, stat_point_ks"
eks,geom,"geom_rug_ks, stat_rug_ks"
eks,scale,scale_transp_neutral
emojifont,geom,geom_emoji
emojifont,geom,geom_fontawesome
emstreeR,stat,stat_MST
envalysis,theme,theme_publish
EpiModel,geom,geom_bands
epmfd,scale,scale_epmfd
esci,geom,geom_meta_diamond_h
esmisc,theme,theme_edi
exploratory,theme,theme_kim
exuber,scale,scale_exuber_manual
exuber,theme,theme_exuber
ezplot,theme,theme_ez
fChange,stat,stat_3D
feasts,stat,stat_arch_lm
feasts,scale,scale_x_cf_lag
ferrn,geom,geom_huber
ferrn,stat,stat_huber
ferrn,scale,scale_color_continuous_botanical
ferrn,scale,scale_color_discrete_botanical
ferrn,scale,scale_fill_continuous_botanical
ferrn,scale,scale_fill_discrete_botanical
ferrn,theme,theme_fern
ferrn,theme,theme_huber
fgeo.plot,theme,theme_dbh_bubbles
fgeo.plot,theme,theme_default
fgeo.plot,theme,theme_tag_status
fillpattern,scale,scale_fill_pattern
fishualize,scale,scale_color_fish
fishualize,scale,scale_color_fish_d
fishualize,scale,scale_colour_fish
fishualize,scale,scale_colour_fish_d
fishualize,scale,scale_fill_fish
fishualize,scale,scale_fill_fish_d
flexoki,scale,scale_color_flexoki_b
flexoki,scale,scale_color_flexoki_c
flexoki,scale,scale_color_flexoki_d
flexoki,scale,scale_colour_flexoki_b
flexoki,scale,scale_colour_flexoki_c
flexoki,scale,scale_colour_flexoki_d
flexoki,scale,scale_fill_flexoki_b
flexoki,scale,scale_fill_flexoki_c
flexoki,scale,scale_fill_flexoki_d
flexoki,theme,theme_flexoki_dark
flexoki,theme,theme_flexoki_light
flipr,stat,stat_bg_ip
flipr,stat,stat_bs
flipr,stat,stat_cq_ip
flipr,stat,stat_dom_ip
flipr,stat,stat_energy_ip
flipr,stat,stat_f
flipr,stat,stat_f_ip
flipr,stat,stat_fisher
flipr,stat,stat_fisher_ip
flipr,stat,stat_hotelling
flipr,stat,stat_max
flipr,stat,stat_mean
flipr,stat,stat_mod_ip
flipr,stat,stat_student
flipr,stat,stat_student_ip
flipr,stat,stat_t
flipr,stat,stat_t_ip
flipr,stat,stat_welch
foqat,geom,geom_avri
foqat,geom,geom_avri_batch
foqat,geom,geom_psd
foqat,geom,geom_ts
foqat,geom,geom_ts_batch
foqat,geom,geom_tsw
forcis,geom,geom_basemap
forecast,geom,geom_forecast
forestly,theme,theme_panel
forestmodel,theme,theme_forest
funcharts,scale,scale_mfd
funkyheatmap,geom,geom_rounded_rect
funkyheatmap,scale,scale_minmax
funkyheatmap,position,position_arguments
funModeling,coord,coord_plot
funStatTest,stat,stat_cff
funStatTest,stat,stat_hkr
funStatTest,stat,stat_med
funStatTest,stat,stat_mo
funStatTest,stat,stat_wmw
GenderInfer,theme,theme_gd
geofacet,facet,facet_geo
geomtextpath,geom,geom_labelabline
geomtextpath,geom,geom_labelcontour
geomtextpath,geom,geom_labelcurve
geomtextpath,geom,geom_labeldensity
geomtextpath,geom,geom_labeldensity2d
geomtextpath,geom,geom_labelhline
geomtextpath,geom,geom_labelline
geomtextpath,geom,geom_labelpath
geomtextpath,geom,geom_labelsegment
geomtextpath,geom,geom_labelsf
geomtextpath,geom,geom_labelsmooth
geomtextpath,geom,geom_labelvline
geomtextpath,geom,geom_textabline
geomtextpath,geom,geom_textcontour
geomtextpath,geom,geom_textcurve
geomtextpath,geom,geom_textdensity
geomtextpath,geom,geom_textdensity2d
geomtextpath,geom,geom_texthline
geomtextpath,geom,geom_textline
geomtextpath,geom,geom_textpath
geomtextpath,geom,geom_textsegment
geomtextpath,geom,geom_textsf
geomtextpath,geom,geom_textsmooth
geomtextpath,geom,geom_textvline
geomtextpath,stat,stat_textcontour
geomtextpath,scale,scale_hjust_discrete
